node1ID node2ID branchID x1 y1 z1 x2 y2 z2 radius time age type organ parent_node_id 
2705 2706 11 -3.4260 -1.4602 -3.6981 -4.5195 -1.7573 -4.7201 0.0505 14.5830 50.8000 5 2 11  
1457 1458 7 4.1902 -5.0679 -10.7391 3.9843 -5.3888 -12.2024 0.0522 14.6101 53.0000 5 2 7  
1804 1805 8 -7.5402 7.1275 -9.6409 -8.2628 7.8708 -10.7104 0.0569 14.6664 54.0000 5 2 8  
2419 2420 10 -4.6215 0.5190 -8.5416 -5.0337 0.7903 -9.9400 0.0543 14.7021 53.0000 5 2 10  
709 778 535 2.0128 0.1212 -9.2865 2.2202 0.5524 -9.4314 0.0089 14.7817 53.0206 2 2 535  
846 847 5 -2.6628 7.2129 -8.1423 -2.8934 8.2516 -9.1882 0.0634 14.8087 54.0000 5 2 5  
134 135 341 -1.0287 -0.3771 -2.2420 -1.9506 -0.7414 -2.3736 0.0110 14.8191 60.1510 3 2 341  
2140 2141 9 -7.9527 -3.0460 -11.1083 -8.2454 -3.3404 -12.5516 0.0393 14.8812 53.5000 5 2 9  
158 159 348 0.5961 1.9993 -5.0209 0.9751 2.8341 -5.4202 0.0081 14.9671 59.1222 3 2 348  
1140 1141 6 1.5219 -7.5788 -9.9336 1.5953 -8.1655 -11.3330 0.0543 15.0210 53.5000 5 2 6  
42 43 1 -0.9287 -1.4533 -29.4606 -1.0787 -1.5020 -30.3583 0.0255 15.0316 63.0000 1 2 1  
1136 1218 650 0.8779 -4.5789 -4.8197 0.9442 -4.5343 -4.8797 0.0112 15.0458 48.3967 3 2 650  
2702 2761 1097 -0.0752 -0.0496 -1.0435 -0.1301 -0.0852 -0.9680 0.0109 15.0821 48.2095 3 2 1097  
3257 3258 13 0.7469 -2.7195 -2.3409 0.7995 -4.0367 -2.9875 0.0340 15.0969 49.8000 5 2 13  
612 613 3 -3.6126 -4.4405 -12.5745 -3.6590 -4.7076 -14.0197 0.0170 15.0993 62.0000 4 2 3  
1458 1459 7 3.9843 -5.3888 -12.2024 3.7854 -5.7620 -13.6294 0.0522 15.1414 53.0000 5 2 7  
3000 3001 12 -1.0486 3.6630 -3.5837 -1.5036 4.7543 -4.4798 0.0330 15.1598 50.3000 5 2 12  
